,#FILEFORMAT=annV0.5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#FILEDATE=01.25.2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,field_name,vcf_field,schema_title,do_import,value_example,scope,source_name,source_version,description,field_type,sub_embedding_group,is_list,annotation_category,facet_order,facet_default_hidden,column_order,priority,source,pattern,default,min,max,enum_list,links_to,embedded_field,calculated_property,link,comments,annotation_space_location,abbreviation
109,csq_gnomadg_af_popmax,csq_gnomadg_af_popmax,GnomAD Alt AF - PopMax,Y,0.636029,variant,gnomAD,v3.1,maximum population allele frequency from gnomAD gnome v3.0,number,,N,Population Frequency,19,,61,4,manual / gnomad,,0,0,1,,,,,,,,PopMax AF
110,csq_gnomadg_ac-afr,csq_gnomadg_ac-afr,GnomAD Alt AC - African-American/African,Y,2444,variant,gnomAD,v3.1,Alternate allele count for samples of African-American/African ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
111,csq_gnomadg_ac-ami,csq_gnomadg_ac-ami,GnomAD Alt AC - Amish,Y,41,variant,gnomAD,v3.1,Alternate allele count for samples of Amish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
112,csq_gnomadg_ac-amr,csq_gnomadg_ac-amr,GnomAD Alt AC - Latino,Y,926,variant,gnomAD,v3.1,Alternate allele count for samples of Latino ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
113,csq_gnomadg_ac-asj,csq_gnomadg_ac-asj,GnomAD Alt AC - Ashkenazi Jewish,Y,310,variant,gnomAD,v3.1,Alternate allele count for samples of Ashkenazi Jewish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
114,csq_gnomadg_ac-eas,csq_gnomadg_ac-eas,GnomAD Alt AC - East Asian,Y,242,variant,gnomAD,v3.1,Alternate allele count for samples of East Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
115,csq_gnomadg_ac-fin,csq_gnomadg_ac-fin,GnomAD Alt AC - Finnish,Y,294,variant,gnomAD,v3.1,Alternate allele count for samples of Finnish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
116,csq_gnomadg_ac-nfe,csq_gnomadg_ac-nfe,GnomAD Alt AC - Non-Finnish European,Y,5363,variant,gnomAD,v3.1,Alternate allele count for samples of Non-Finnish European ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
117,csq_gnomadg_ac-sas,csq_gnomadg_ac-sas,GnomAD Alt AC - South Asian,Y,282,variant,gnomAD,v3.1,Alternate allele count for samples of South Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
118,csq_gnomadg_ac-oth,csq_gnomadg_ac-oth,GnomAD Alt AC - Other Ancestry,Y,174,variant,gnomAD,v3.1,Alternate allele count for samples of Other ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
119,csq_gnomadg_ac-xy,csq_gnomadg_ac-xy,GnomAD Alt AC - male,Y,4702,variant,gnomAD,v3.1,Alternate allele count for male samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
120,csq_gnomadg_ac-xx,csq_gnomadg_ac-xx,GnomAD Alt AC - female,Y,5386,variant,gnomAD,v3.1,Alternate allele count for female samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
121,csq_gnomadg_an-afr,csq_gnomadg_an-afr,GnomAD Total AN - African-American/African,Y,3902,variant,gnomAD,v3.1,Total number of alleles in samples of African-American/African ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
122,csq_gnomadg_an-ami,csq_gnomadg_an-ami,GnomAD Total AN - Amish,Y,70,variant,gnomAD,v3.1,Total number of alleles in samples of Amish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
123,csq_gnomadg_an,csq_gnomadg_an,GnomAD Total Allele Number,Y,16086,variant,gnomAD,v3.1,Total number of alleles in samples,integer,,N,Population Frequency,20,,,4,gnomad,,0,0,,,,,,,,GnomAD,
124,csq_gnomadg_an-amr,csq_gnomadg_an-amr,GnomAD Total AN - Latino,Y,1460,variant,gnomAD,v3.1,Total number of alleles in samples of Latino ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
125,csq_gnomadg_an-asj,csq_gnomadg_an-asj,GnomAD Total AN - Ashkenazi Jewish,Y,474,variant,gnomAD,v3.1,Total number of alleles in samples of Ashkenazi Jewish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
126,csq_gnomadg_an-eas,csq_gnomadg_an-eas,GnomAD Total AN - East Asian,Y,428,variant,gnomAD,v3.1,Total number of alleles in samples of East Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
127,csq_gnomadg_an-fin,csq_gnomadg_an-fin,GnomAD Total AN - Finnish,Y,560,variant,gnomAD,v3.1,Total number of alleles in samples of Finnish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
128,csq_gnomadg_an-nfe,csq_gnomadg_an-nfe,GnomAD Total AN - Non-Finnish European,Y,8432,variant,gnomAD,v3.1,Total number of alleles in samples of Non-Finnish European ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
129,csq_gnomadg_an-sas,csq_gnomadg_an-sas,GnomAD Total AN - South Asian,Y,446,variant,gnomAD,v3.1,Total number of alleles in samples of South Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
130,csq_gnomadg_an-oth,csq_gnomadg_an-oth,GnomAD Total AN - Other Ancestry,Y,282,variant,gnomAD,v3.1,Total number of alleles in samples of Other ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
131,csq_gnomadg_an-xy,csq_gnomadg_an-xy,GnomAD Total AN - male,Y,7514,variant,gnomAD,v3.1,Total number of alleles in male samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
132,csq_gnomadg_an-xx,csq_gnomadg_an-xx,GnomAD Total AN - female,Y,8572,variant,gnomAD,v3.1,Total number of alleles in female samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
133,csq_gnomadg_af-afr,csq_gnomadg_af-afr,GnomAD Alt AF - African-American/African,Y,0.626345,variant,gnomAD,v3.1,Alternate allele frequency in samples of African-American/African ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
134,csq_gnomadg_af-ami,csq_gnomadg_af-ami,GnomAD Alt AF - Amish,Y,0.585714,variant,gnomAD,v3.1,Alternate allele frequency in samples of Amish ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
135,csq_gnomadg_af-amr,csq_gnomadg_af-amr,GnomAD Alt AF - Latino,Y,0.634247,variant,gnomAD,v3.1,Alternate allele frequency in samples of Latino ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
136,csq_gnomadg_af,csq_gnomadg_af,GnomAD Alt Allele Frequency,Y,0.627129,variant,gnomAD,v3.1,Alternate allele frequency in samples,number,,N,Population Frequency,18,,60,4,gnomad,,0,0,1,,,,,,,GnomAD,AF
137,csq_gnomadg_af-asj,csq_gnomadg_af-asj,GnomAD Alt AF - Ashkenazi Jewish,Y,0.654008,variant,gnomAD,v3.1,Alternate allele frequency in samples of Ashkenazi Jewish ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
138,csq_gnomadg_af-eas,csq_gnomadg_af-eas,GnomAD Alt AF - East Asian,Y,0.565421,variant,gnomAD,v3.1,Alternate allele frequency in samples of East Asian ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
139,csq_gnomadg_af-fin,csq_gnomadg_af-fin,GnomAD Alt AF - Finnish,Y,0.525,variant,gnomAD,v3.1,Alternate allele frequency in samples of Finnish ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
140,csq_gnomadg_af-nfe,csq_gnomadg_af-nfe,GnomAD Alt AF - Non-Finnish European,Y,0.636029,variant,gnomAD,v3.1,Alternate allele frequency in samples of Non-Finnish European ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
141,csq_gnomadg_af-sas,csq_gnomadg_af-sas,GnomAD Alt AF - South Asian,Y,0.632287,variant,gnomAD,v3.1,Alternate allele frequency in samples of South Asian ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
142,csq_gnomadg_af-oth,csq_gnomadg_af-oth,GnomAD Alt AF - Other Ancestry,Y,0.617021,variant,gnomAD,v3.1,Alternate allele frequency in samples of Other ancestry,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
143,csq_gnomadg_af-xy,csq_gnomadg_af-xy,GnomAD Alt AF - male,Y,0.625765,variant,gnomAD,v3.1,Alternate allele frequency in male samples,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
144,csq_gnomadg_af-xx,csq_gnomadg_af-xx,GnomAD Alt AF - female,Y,0.628325,variant,gnomAD,v3.1,Alternate allele frequency in female samples,number,,N,Population Frequency,,,,,,,0,0,1,,,,,,,GnomAD,
145,csq_gnomadg_nhomalt-afr,csq_gnomadg_nhomalt-afr,GnomAD Homozygous Count - African-American/African,Y,629,variant,gnomAD,v3.1,Count of homozygous individuals in samples of African-American/African ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
146,csq_gnomadg_nhomalt-ami,csq_gnomadg_nhomalt-ami,GnomAD Homozygous Count - Amish,Y,10,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Amish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
147,csq_gnomadg_nhomalt-amr,csq_gnomadg_nhomalt-amr,GnomAD Homozygous Count - Latino,Y,262,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Latino ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
148,csq_gnomadg_nhomalt,csq_gnomadg_nhomalt,GnomAD Homozygous Count,Y,2613,variant,gnomAD,v3.1,Count of homozygous individuals in samples,integer,,N,Population Frequency,21,,,4,gnomad,,0,0,,,,,,,,GnomAD,
149,csq_gnomadg_nhomalt-asj,csq_gnomadg_nhomalt-asj,GnomAD Homozygous Count - Ashkenazi Jewish,Y,84,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Ashkenazi Jewish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
150,csq_gnomadg_nhomalt-eas,csq_gnomadg_nhomalt-eas,GnomAD Homozygous Count - East Asian,Y,55,variant,gnomAD,v3.1,Count of homozygous individuals in samples of East Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
151,csq_gnomadg_nhomalt-fin,csq_gnomadg_nhomalt-fin,GnomAD Homozygous Count - Finnish,Y,62,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Finnish ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
152,csq_gnomadg_nhomalt-nfe,csq_gnomadg_nhomalt-nfe,GnomAD Homozygous Count - Non-Finnish European,Y,1390,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Non-Finnish European ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
153,csq_gnomadg_nhomalt-sas,csq_gnomadg_nhomalt-sas,GnomAD Homozygous Count - South Asian,Y,75,variant,gnomAD,v3.1,Count of homozygous individuals in samples of South Asian ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
154,csq_gnomadg_nhomalt-oth,csq_gnomadg_nhomalt-oth,GnomAD Homozygous Count - Other Ancestry,Y,42,variant,gnomAD,v3.1,Count of homozygous individuals in samples of Other ancestry,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
155,csq_gnomadg_nhomalt-xy,csq_gnomadg_nhomalt-xy,GnomAD Homozygous Count - male,Y,1223,variant,gnomAD,v3.1,Count of homozygous individuals in male samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
156,csq_gnomadg_nhomalt-xx,csq_gnomadg_nhomalt-xx,GnomAD Homozygous Count - female,Y,1390,variant,gnomAD,v3.1,Count of homozygous individuals in female samples,integer,,N,Population Frequency,,,,,,,0,0,,,,,,,,GnomAD,
157,csq_clinvar,csq_clinvar,Clinvar ID,Y,402986,variant,ClinVar,v20201101,ClinVar variantion ID,string,,N,variant database,,,70,3,clinvar,,,,,,,,,https://www.ncbi.nlm.nih.gov/clinvar/variation/<ID>/,,,
158,csq_clinvar_clndn,csq_clinvar_clndn,,Y,not_specified&not_provided,variant,ClinVar,v20201101,ClinVar's preferred disease name for the concept specified by disease identifiers in CLNDISDB,string,,Y,variant database,,,,,,,,,,,,,,,,,
159,csq_clinvar_clndnincl,csq_clinvar_clndnincl,,Y,Encephalopathy&_acute&_infection-induced&_4&_susceptibility_to,variant,ClinVar,v20201101,For included Variant : ClinVar's preferred disease name for the concept specified by disease identifiers in CLNDISDB,string,,N,variant database,,,,,,,,,,,,,,,,,
160,csq_clinvar_clndisdb,csq_clinvar_clndisdb,,Y,MedGen:CN169374&MedGen:CN517202,variant,ClinVar,v20201101,"Tag-value pairs of disease database name and identifier, e.g. OMIM:NNNNNN",string,,Y,variant database,,,,,,,,,,,,,,,,,
161,csq_clinvar_clndisdbincl,csq_clinvar_clndisdbincl,,Y,MONDO:MONDO:0013633&MedGen:C3280160&OMIM:614212,variant,ClinVar,v20201101,"For included Variant: Tag-value pairs of disease database name and identifier, e.g. OMIM:NNNNNN",string,,Y,variant database,,,,,,,,,,,,,,,,,
163,csq_clinvar_clnrevstat,csq_clinvar_clnrevstat,,Y,criteria_provided&_single_submitter,variant,ClinVar,v20201101,ClinVar review status for the Variation ID,string,,Y,variant database,,,,,,,,,,,,,,,,,
164,csq_clinvar_clnsig,csq_clinvar_clnsig,Clinvar,Y,Conflicting_interpretations_of_pathogenicity&_other,variant,ClinVar,v20201101,Clinical significance for this single variant,string,,N,variant database,36,,,3,clinvar,,,,,,,,,,,,
165,csq_clinvar_clnsigconf,csq_clinvar_clnsigconf,,Y,Benign(3)&Uncertain_significance(1),variant,ClinVar,v20201101,Conflicting clinical significance for this single variant,string,,Y,variant database,,,,,,,,,,,,,,,,,
166,csq_clinvar_clnsigincl,csq_clinvar_clnsigincl,,Y,16318:Pathogenic/Likely_pathogenic&217371:Pathogenic,variant,ClinVar,v20201101,Clinical significance for a haplotype or genotype that includes this variant. Reported as pairs of VariationID:clinical significance.,string,,Y,variant database,,,,,,,,,,,,,,,,,
167,csq_clinvar_clnvc,csq_clinvar_clnvc,,Y,single_nucleotide_variant,variant,ClinVar,v20201101,Variant type,string,,N,variant database,,,,,,,,,,,,,,,,,
168,csq_clinvar_clnvcso,csq_clinvar_clnvcso,,Y,SO:0001483,variant,ClinVar,v20201101,Sequence Ontology id for variant type,string,,N,variant database,,,,,,,,,,,,,,,,,
169,csq_clinvar_geneinfo,csq_clinvar_geneinfo,,Y,TARDBP:23435&MASP2:10747,variant,ClinVar,v20201101,Gene(s) for the variant reported as gene symbol:gene id. The gene symbol and id are delimited by a colon (:) and each pair is delimited by a vertical bar (|),string,,Y,variant database,,,,,,,,,,,,,,,,,
170,csq_clinvar_mc,csq_clinvar_mc,,Y,SO:0001583&missense_variant,variant,ClinVar,v20201101,Sequence Ontology ID list,string,,Y,variant database,,,,,,,,,,,,,,,,,
171,csq_clinvar_origin,csq_clinvar_origin,,Y,1,variant,ClinVar,v20201101,Allele origin. One or more of the following values may be added: 0 - unknown; 1 - germline; 2 - somatic; 4 - inherited; 8 - paternal; 16 - maternal; 32 - de-novo; 64 - biparental; 128 - uniparental; 256 - not-tested; 512 - tested-inconclusive; 1073741824 - other,integer,,N,variant database,,,,,,,,,,,,,,,,,
172,comhet_phase,comhet_phase,,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",N,,,,,,,,,,,,,,,,,Comp Het,
173,comhet_gene,comhet_gene,,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",N,,,,,,,,,,,,,,,,,Comp Het,
174,comhet_transcript,comhet_transcript,,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",Y,,,,,,,,,,,,,,,,,Comp Het,
175,comhet_impact_gene,comhet_impact_gene,ComHet Impact,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",N,Genotype,17,,,4,comhet,,,,,,,,,,,Comp Het,
176,comhet_impact_transcript,comhet_impact_transcript,,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",N,,,,,,,,,,,,,,,,,Comp Het,
177,comhet_mate_variant,comhet_mate_variant,,Y,,sample_variant,comHet,v0.1.3,,string,"{""key"": ""cmphet"", ""title"": ""Compound Het""}",N,,,,,,,,,,,,,,,,,Comp Het,
